PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-2048-1024] (gpu=0, 694ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-2048-1025] (gpu=2, 208ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-2048-1027] (gpu=3, 200ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-2048-1029] (gpu=4, 198ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-2048-5137] (gpu=5, 193ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-4096-1] (gpu=6, 145ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-4096-64] (gpu=0, 149ms, exit=0)
PASSED         tests/kernels/core/test_fused_quant_layernorm.py::test_rms_norm[cuda:0-0-group_size2-quant_dtype1-dtype1-False-True-4096-5137] (gpu=2, 179ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-True-b_scale_group_shape0-a_scale_group_shape0] (gpu=3, 1187ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-True-b_scale_group_shape0-a_scale_group_shape1] (gpu=4, 1173ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-True-b_scale_group_shape1-a_scale_group_shape0] (gpu=5, 1077ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-True-b_scale_group_shape1-a_scale_group_shape1] (gpu=6, 1225ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-False-b_scale_group_shape0-a_scale_group_shape0] (gpu=0, 914ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-False-b_scale_group_shape0-a_scale_group_shape1] (gpu=2, 784ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-False-b_scale_group_shape1-a_scale_group_shape0] (gpu=3, 786ms, exit=0)
PASSED         tests/kernels/quantization/test_cutlass_scaled_mm.py::test_cutlass_fp8_gemm_devices[cuda:0-False-b_scale_group_shape1-a_scale_group_shape1] (gpu=4, 926ms, exit=0)
